"","platform","seed","Npar","delta.target","time","minESS","medianESS","Nsims","minESS.coda","Rhat.min","Rhat.max","Rhat.median","metric","eps.final","samples.per.time","time.total","model","cor"
"25","jags",23712,2,0.5,0.659999999999968,11827.0016273239,11984.1397822607,20000,11766.7661502928,0.999967759513597,1.00005715174489,1.00001245562924,NA,NA,17919.6994353401,0.659999999999968,"mvnc",0
"26","stan.nuts",23712,2,0.8,0.550000000000011,10346.7993800661,13149.8125466031,20000,9870.06938001525,0.999987002740704,1.00027257129163,0.999987369730554,"diag_e",1.34131387663249,18812.3625092106,0.550000000000011,"mvnc",0
"27","jags",80542,2,0.5,0.740000000000009,12482.8084189031,12494.5145122978,20000,12444.6383241817,0.999952328398494,0.999994802206428,0.999973565302461,NA,NA,16868.6600255445,0.740000000000009,"mvnc",0
"28","stan.nuts",80542,2,0.8,0.75,10933.8035987477,12342.3154053264,20000,10722.7409829397,0.999949999241321,1.0000469075385,0.999980568691689,"diag_e",1.34064898118832,14578.4047983303,0.75,"mvnc",0
"29","jags",38632,2,0.5,0.720000000000027,11411.1723317282,11578.3835816759,20000,11992.7615959554,0.999965536673481,0.999970431572229,0.999967984122855,NA,NA,15848.850460733,0.720000000000027,"mvnc",0
"30","stan.nuts",38632,2,0.8,0.509999999999991,12305.6099308852,13305.45039323,20000,12427.2872427295,0.999950856683637,0.999965488804654,0.999959529757274,"diag_e",1.24540896292935,24128.6469233048,0.509999999999991,"mvnc",0
"31","jags",47339,2,0.5,0.680000000000007,12391.6500235995,12584.0367142835,20000,12853.1558060421,0.999950380157251,0.999996620176803,0.999973500167027,NA,NA,18223.0147405873,0.680000000000007,"mvnc",0
"32","stan.nuts",47339,2,0.8,0.519999999999982,9960.8908312583,11430.3682783481,20000,10128.1010897126,0.999960817451096,1.00008273966192,1.00002447823789,"diag_e",1.44733100574718,19155.559290882,0.519999999999982,"mvnc",0
"33","jags",54263,2,0.5,0.689999999999998,11654.2690196869,11694.5042232412,20000,12324.8748896154,0.999960172558807,1.00031628969138,1.00013823112509,NA,NA,16890.244956068,0.689999999999998,"mvnc",0
"34","stan.nuts",54263,2,0.8,0.510000000000048,10703.6926095841,13895.8019849353,20000,10822.9571209008,0.999968692744731,1.00008016420807,0.999993800737361,"diag_e",1.29371082330899,20987.63256781,0.510000000000048,"mvnc",0
"35","jags",15202,2,0.5,0.670000000000016,11835.1320453003,11835.9594043954,20000,12046.0913526776,0.999950038603762,0.999950237330328,0.999950137967045,NA,NA,17664.376187015,0.670000000000016,"mvnc",0
"36","stan.nuts",15202,2,0.8,0.670000000000016,9768.3422134503,12314.5528968568,20000,9655.05667635453,0.999974516934527,1.00022552942261,1.00007224640815,"diag_e",1.41500044598706,14579.6152439553,0.670000000000016,"mvnc",0
"37","jags",26482,2,0.5,0.639999999999986,11826.1070040788,11898.4276931201,20000,11885.7953267619,0.999975004074895,0.999996372718464,0.99998568839668,NA,NA,18478.2921938735,0.639999999999986,"mvnc",0
"38","stan.nuts",26482,2,0.8,0.509999999999991,8874.43463652913,9724.93508597523,20000,9433.29008890296,0.999953130461782,1.00026728001093,1.00002154297164,"diag_e",1.45412092831658,17400.8522284888,0.509999999999991,"mvnc",0
"39","jags",32386,2,0.5,0.689999999999998,12239.3309043146,12511.1286849114,20000,12369.4869796952,0.999989345740578,1.00000918225036,0.999999263995469,NA,NA,17738.1607308908,0.689999999999998,"mvnc",0
