"X","platform","seed","Npar","delta.target","time.warmup","time.sampling","minESS","medianESS","Nsims","minESS.coda","Rhat.min","Rhat.max","Rhat.median","metric","eps.final","samples.per.sampling.time","samples.per.time","time.total","model","mean.efficiency","sd.efficiency","median.efficiency","lwr.efficiency","upr.efficiency"
18,"stan.nuts",3,66,0.95,20.017,36.962,502.981473393812,1094.82109425893,10000,462.908792488833,0.999903481423868,1.0030959012164,1.00135714898014,"diag_e",0.113538791555159,13.6080697309078,8.82748860797509,56.979,"growth",7.51418170552045,0.732170103118717,7.38785783987971,6.72960229516569,8.82748860797509
24,"stan.nuts",4,66,0.95,20.326,37.721,390.633224427483,889.633821694348,10000,452.324361390558,0.999911619258006,1.00487948658416,1.00158299915897,"diag_e",0.103889805438272,10.3558554764583,6.72960229516569,58.047,"growth",7.51418170552045,0.732170103118717,7.38785783987971,6.72960229516569,8.82748860797509
30,"stan.nuts",5,66,0.95,19.161,27.38,360.184764875371,980.909947463982,10000,431.687896575331,0.999906831387779,1.00243309887825,1.00055860052701,"diag_e",0.136357114436018,13.1550315878514,7.73908521250877,46.541,"growth",7.51418170552045,0.732170103118717,7.38785783987971,6.72960229516569,8.82748860797509
36,"stan.nuts",6,66,0.95,18.264,35.701,395.598835189113,890.356271587115,10000,458.520302262386,0.999900502205049,1.00221056133764,1.00045248930306,"diag_e",0.111434424020839,11.0808894761803,7.33065570627467,53.965,"growth",7.51418170552045,0.732170103118717,7.38785783987971,6.72960229516569,8.82748860797509
2,"stan.nuts",1,66,0.5,7.366,13.969,198.124163282018,449.90067469735,10000,230.71850334863,0.999911923646969,1.02261415406038,1.00580353080952,"diag_e",0.294535170515895,14.1831314540782,9.28634465816817,21.335,"growth_t",9.76742474115453,3.97041727404547,9.19818533799085,4.06710638762465,14.4008934624323
8,"stan.nuts",2,66,0.5,7.406,13.547,158.642973604322,416.092190655265,10000,238.738339830218,0.999902218742053,1.01668216356432,1.00141955243395,"diag_e",0.309451496403546,11.7105612758782,7.57137276782904,20.953,"growth_t",9.76742474115453,3.97041727404547,9.19818533799085,4.06710638762465,14.4008934624323
14,"stan.nuts",3,66,0.5,8.937,21.79,442.496253420157,1035.14885164794,10000,464.848048650543,0.999903136579921,1.00766043670223,1.00255846521496,"diag_e",0.214953696044094,20.3073085553078,14.4008934624323,30.727,"growth_t",9.76742474115453,3.97041727404547,9.19818533799085,4.06710638762465,14.4008934624323
20,"stan.nuts",4,66,0.5,7.172,14.06,193.424072410217,477.532635555655,10000,261.250007672391,0.999906384976113,1.00557861370364,1.00158389420468,"diag_e",0.308745615564379,13.7570464018646,9.11002601781353,21.232,"growth_t",9.76742474115453,3.97041727404547,9.19818533799085,4.06710638762465,14.4008934624323
26,"stan.nuts",5,66,0.5,7.876,12.844,84.2704443515828,419.564702375434,10000,187.001700228051,0.999900050297304,1.00364136771376,1.00037782008886,"diag_e",0.332027403364913,6.56107477044401,4.06710638762465,20.72,"growth_t",9.76742474115453,3.97041727404547,9.19818533799085,4.06710638762465,14.4008934624323
32,"stan.nuts",6,66,0.5,7.62,13.735,302.574834043586,663.132939765106,10000,279.052345073595,0.999900234297996,1.00232413116728,1.00003902282722,"diag_e",0.325201402180497,22.029474630039,14.1688051530595,21.355,"growth_t",9.76742474115453,3.97041727404547,9.19818533799085,4.06710638762465,14.4008934624323
