"","platform","seed","Npar","delta.target","time.warmup","time.sampling","minESS","medianESS","Nsims","minESS.coda","metric","eps.final","samples.per.sampling.time","samples.per.time","time.total","model"
"68","stan.nuts",6,5,0.2,4.703,9.813,15.9948572698742,2000,2000,13.2488624576962,"dense_e",6.16332869918531e-08,1.62996609292512,1.1018777397268,14.516,"mvn"
"69","stan.nuts",6,5,0.5,0.032,0.062,520.661386533978,582.287288838669,2000,534.598990558118,"diag_e",0.468501647100282,8397.76429893513,5538.95092057424,0.094,"mvn"
"70","stan.nuts",6,5,0.5,5.765,17.126,1078.73350836153,1704.51644613217,2000,1027.2413509095,"dense_e",1.28853780716815e-09,62.9880595796759,47.1247873994814,22.891,"mvn"
"71","stan.nuts",6,5,0.7,0.047,0.094,593.02469796978,700.73273406998,2000,680.023434672335,"diag_e",0.288838532411204,6308.77338265723,4205.84892177149,0.141,"mvn"
"72","stan.nuts",6,5,0.7,4.672,17.467,454.864624154383,454.876641896782,2000,614.308488701199,"dense_e",6.30226418930107e-09,26.0413708223727,20.5458523038251,22.139,"mvn"
"73","stan.nuts",6,5,0.8,0.047,0.093,565.744552694818,743.265153488773,2000,556.398772120101,"diag_e",0.273516464263558,6083.27476015933,4041.0325192487,0.14,"mvn"
"74","stan.nuts",6,5,0.8,4.547,19.094,334.923757104069,336.425110344607,2000,303.094598969494,"dense_e",1.52359565257606e-08,17.5407854354283,14.1670723363677,23.641,"mvn"
"75","stan.nuts",6,5,0.9,0.047,0.109,567.899021557335,808.567774187122,2000,672.563596161968,"diag_e",0.230518871923505,5210.08276658106,3640.37834331625,0.156,"mvn"
"76","stan.nuts",6,5,0.9,5.016,19.407,22.1332863717321,22.1349953904189,2000,16.0568766654415,"dense_e",3.84724994709167e-09,1.14047953685434,0.906247650646199,24.423,"mvn"
"77","stan.nuts",6,5,0.95,0.078,0.125,517.465007313952,613.031177819888,2000,505.721626743248,"diag_e",0.20054966743374,4139.72005851162,2549.08870598006,0.203,"mvn"
"78","stan.nuts",6,5,0.95,6.922,18.501,2.86039516114084,2.86079542303366,2000,1.50018574080123,"dense_e",4.49240720960131e-22,0.15460759748883,0.112512101685122,25.423,"mvn"
