"","platform","seed","Npar","delta.target","time.warmup","time.sampling","minESS","medianESS","Nsims","minESS.coda","metric","eps.final","samples.per.sampling.time","samples.per.time","time.total","model"
"14","stan.nuts",1,10,0.8,0.052,0.096,987.596410996477,1686.90758577577,2000,1255.21270941242,"diag_e",0.715946674984612,10287.4626145466,6672.94872294917,0.148,"mvn"
"15","jags",2,10,0.5,0.0499999999999545,4.17000000000002,11.4726867794313,17.7898970135501,2000,12.6223327953961,NA,NA,2.7512438319979,2.71864615626336,4.21999999999997,"mvn"
"16","stan.nuts",2,10,0.8,0.054,0.115,942.031995980839,2000,2000,979.801621260974,"diag_e",0.642201333662798,8191.58257374643,5574.15382237183,0.169,"mvn"
"17","jags",3,10,0.5,0.0400000000000205,4.13999999999999,7.01221456542905,14.8462901284673,2000,10.0980614666005,NA,NA,1.69377163416161,1.67756329316484,4.18000000000001,"mvn"
"18","stan.nuts",3,10,0.8,0.055,0.113,810.426029794763,1756.24772471124,2000,846.911891938514,"diag_e",0.67606106475727,7171.91176809525,4823.96446306407,0.168,"mvn"
"19","jags",4,10,0.5,0.0699999999999932,4.19,12.3498510575893,19.66130853586,2000,12.6969820719442,NA,NA,2.94745848629817,2.89902606985666,4.25999999999999,"mvn"
"20","stan.nuts",4,10,0.8,0.053,0.107,1037.00409198718,1989.1567461397,2000,1103.1988386354,"diag_e",0.657891185191084,9691.6270279176,6481.2755749199,0.16,"mvn"
"21","jags",5,10,0.5,0.0400000000000205,4.20999999999998,8.29812204343402,15.7640805343992,2000,10.5791806357821,NA,NA,1.97105036661141,1.95249930433742,4.25,"mvn"
"22","stan.nuts",5,10,0.8,0.052,0.105,926.134055152199,1772.13058143527,2000,869.969795043917,"diag_e",0.668393100269851,8820.32433478285,5898.94302644713,0.157,"mvn"
"23","jags",6,10,0.5,0.0500000000000114,4.17000000000002,10.5325163581674,18.3875341164508,2000,11.75498381966,NA,NA,2.5257832993207,2.49585695691168,4.22000000000003,"mvn"
"24","stan.nuts",6,10,0.8,0.052,0.097,975.492440863399,1775.05760394809,2000,931.051674262948,"diag_e",0.701214610013145,10056.6231016845,6546.9291333114,0.149,"mvn"
"25","jags",1,50,0.5,1.71999999999997,611.83,4.50482321578526,15.9243758807294,2000,9.76793314920067,NA,NA,0.00736286748898429,0.00734222673911704,613.55,"mvn"
"26","stan.nuts",1,50,0.8,0.336,0.619,726.572366426486,2000,2000,710.964781211466,"diag_e",0.469625373123458,1173.78411377461,760.808760656006,0.955,"mvn"
"27","jags",2,50,0.5,1.72000000000003,612.22,5.28126905116991,16.4737100420025,2000,9.13477304123712,NA,NA,0.00862642359147024,0.00860225600412078,613.94,"mvn"
"28","stan.nuts",2,50,0.8,0.336,0.621,541.007427423551,2000,2000,571.83911523172,"diag_e",0.516857140613066,871.187483773834,565.316016116563,0.957,"mvn"
"29","jags",3,50,0.5,1.77999999999997,619.94,4.81911515853274,14.5289905921714,2000,9.99973891589098,NA,NA,0.00777351866072965,0.0077512628812532,621.72,"mvn"
"30","stan.nuts",3,50,0.8,0.341,0.62,676.260920665893,2000,2000,727.567333586847,"diag_e",0.444912188891848,1090.74342042886,703.705432534748,0.961,"mvn"
"31","jags",4,50,0.5,1.72000000000025,621.94,6.7408004615998,15.4028553683279,2000,8.15255955192475,NA,NA,0.0108383452770361,0.0108084540640731,623.66,"mvn"
"32","stan.nuts",4,50,0.8,0.355,0.632,515.606027756601,2000,2000,689.642579279136,"diag_e",0.477432014465214,815.832322399685,522.397191242757,0.987,"mvn"
"33","jags",5,50,0.5,1.79999999999973,623.16,3.91194738302574,14.9673288122011,2000,7.92699060877633,NA,NA,0.00627759705858165,0.00625951642189219,624.96,"mvn"
"34","stan.nuts",5,50,0.8,0.354,0.632,480.965210766877,2000,2000,478.595950957937,"diag_e",0.492192454862386,761.020903112147,487.794331406569,0.986,"mvn"
