"","platform","seed","Npar","delta.target","time.warmup","time.sampling","minESS","medianESS","Nsims","minESS.coda","Rhat.min","Rhat.max","Rhat.median","metric","eps.final","samples.per.sampling.time","samples.per.time","time.total","model","cor"
"11","jags",6,2,0.5,0.0199999999999818,2.8599999999999,30611.4566044423,31130.5944568352,50000,31624.8385048668,0.999984277058067,1.00000215738307,0.99999321722057,NA,NA,10703.3065050501,10628.977987654,2.87999999999988,"mvnd",0
"12","stan.nuts",6,2,0.8,0.588,1.362,14289.936908931,31834.1491736184,50000,14608.1083013898,0.999981005276587,1.00009323352335,1.00000091492321,"diag_e",0.863636556666884,10491.8773193326,7328.17277381076,1.95,"mvnd",0
"13","jags",7,2,0.5,0,2.84999999999991,31418.9230819045,31481.8175651278,50000,32236.9930593994,0.999981402435262,1.00000602885967,0.999993715647464,NA,NA,11024.1835375107,11024.1835375107,2.84999999999991,"mvnd",0
"14","stan.nuts",7,2,0.8,0.594,1.425,13068.6515836687,28629.5724620887,50000,14225.5206314216,0.999981829145485,1.00101355496036,1.00007769648904,"diag_e",0.829428699589085,9170.98356748678,6472.83387006868,2.019,"mvnd",0
"15","jags",8,2,0.5,0.00999999999999091,2.8599999999999,31488.0034390197,32028.364283299,50000,32820.5443839907,0.999980488347694,0.99998207170455,0.999981280026122,NA,NA,11009.791412245,10971.4297696937,2.86999999999989,"mvnd",0
"16","stan.nuts",8,2,0.8,0.585,1.317,15705.7094996585,33912.1865302861,50000,15621.5287704483,0.999979999800204,1.00022939153164,1.00000210131933,"diag_e",0.887872319218251,11925.3678812897,8257.47082000974,1.902,"mvnd",0
"17","jags",9,2,0.5,0,2.85000000000014,31819.9377148401,31892.1471864791,50000,32083.8187217542,0.999980107079797,0.999999235106861,0.999989671093329,NA,NA,11164.8904262591,11164.8904262591,2.85000000000014,"mvnd",0
"18","stan.nuts",9,2,0.8,0.586,1.271,16754.8309931694,32330.4782841819,50000,17020.5630308052,0.9999801182949,0.999995542795531,0.999991138975488,"diag_e",0.924699855937676,13182.4004666951,9022.52611371537,1.857,"mvnd",0
"19","jags",10,2,0.5,0,2.8599999999999,31652.2105425013,32172.8138683675,50000,32390.2159599787,0.999980039274589,0.999982605054036,0.999981322164312,NA,NA,11067.2064833925,11067.2064833925,2.8599999999999,"mvnd",0
"20","stan.nuts",10,2,0.8,0.588,1.348,14465.7017334265,32832.8724431408,50000,15073.1407460551,0.999985985129423,1.00008230495096,1.00005242814446,"diag_e",0.87113184087963,10731.2327399307,7471.95337470379,1.936,"mvnd",0
"21","jags",1,5,0.5,0.0200000000002092,8.39999999999986,31046.4964905392,31558.5583445057,50000,31932.8529595881,0.999980961221454,1.00010575360316,0.999996838750331,NA,NA,3696.01148696902,3687.23236229679,8.42000000000007,"mvnd",0
"22","stan.nuts",1,5,0.8,0.924,2.582,21186.4909924964,38905.5813352523,50000,21818.7151585828,0.999995234221319,1.00004237040987,1.00003047999398,"diag_e",0.657025190315505,8205.45739446025,6042.92384269719,3.506,"mvnd",0
"23","jags",2,5,0.5,0.0299999999999727,8.75,31896.7849810209,32118.1700044322,50000,31806.7587629684,0.99998386294108,1.00003932890271,1.00000678118757,NA,NA,3645.34685497382,3632.89122790672,8.77999999999997,"mvnd",0
"24","stan.nuts",2,5,0.8,0.915,2.079,18096.9042901399,44844.4332128795,50000,17769.0835280171,0.999980022885132,1.00001928055344,0.999991601925005,"diag_e",0.80754393110706,8704.61966817696,6044.39021046757,2.994,"mvnd",0
"25","jags",3,5,0.5,0.0199999999999818,8.27999999999997,31812.6330489173,32144.6968053349,50000,31627.0184263256,0.999980182660284,1.00012267740887,0.999996169072248,NA,NA,3842.10544069051,3832.84735529127,8.29999999999995,"mvnd",0
"26","stan.nuts",3,5,0.8,0.918,2.246,19728.9386736425,40229.7590943274,50000,19229.2494879101,0.999980643044583,1.0000573597905,1.00002128996805,"diag_e",0.745636244493009,8784.03324739205,6235.44205867337,3.164,"mvnd",0
"27","jags",4,5,0.5,0.0299999999999727,8.30000000000018,30697.5891959558,31676.3127094548,50000,30404.7105035264,0.999981256363952,1.00008271106654,0.999993235675615,NA,NA,3698.50472240424,3685.1847774256,8.33000000000015,"mvnd",0
"28","stan.nuts",4,5,0.8,0.919,2.135,18796.3689011738,41559.4052067132,50000,18890.7611072828,0.999981004229295,1.00000281146469,0.999983258624032,"diag_e",0.784261460684126,8803.91986003457,6154.67220077728,3.054,"mvnd",0
"29","jags",5,5,0.5,0.0199999999999818,8.32999999999993,30854.9974474977,31452.142484807,50000,31965.5516064316,0.999980194428819,1.00006705425811,0.999990752055946,NA,NA,3704.08132623025,3695.20927514947,8.34999999999991,"mvnd",0
"30","stan.nuts",5,5,0.8,0.918,2.334,20951.5429138879,38864.5517553207,50000,20754.4786144283,0.999988002807086,1.00002316476199,0.999993279305748,"diag_e",0.722197293172022,8976.66791511909,6442.66387265927,3.252,"mvnd",0
"31","jags",6,5,0.5,0.0299999999999727,8.31000000000017,32278.1188666438,32457.9908413929,50000,31903.7815191218,0.999979999945445,1.00012015397972,0.999983357396485,NA,NA,3884.25016445765,3870.27804156393,8.34000000000015,"mvnd",0
"32","stan.nuts",6,5,0.8,0.921,2.021,17980.3997094414,45852.1982910706,50000,17663.7255008144,0.999980011926554,1.0001593230866,0.999985623629368,"diag_e",0.823725929057974,8896.78362664098,6111.62464630912,2.942,"mvnd",0
"33","jags",7,5,0.5,0.0299999999999727,8.56000000000017,29504.5104180671,32101.2512551449,50000,31522.9343655552,0.999980203866081,1.00003592038264,0.999981643546137,NA,NA,3446.78860024141,3434.75092177725,8.59000000000015,"mvnd",0
"34","stan.nuts",7,5,0.8,0.917,2.417,20798.6948666361,38988.8179952284,50000,21139.4565886746,0.999980093348963,1.00006483795528,0.999991992413116,"diag_e",0.694399545707162,8605.16957659747,6238.36078783326,3.334,"mvnd",0
"35","jags",8,5,0.5,0.0299999999999727,8.3599999999999,31155.0344532803,32061.8572920629,50000,30916.2670903847,0.999987474242962,1.00002362680469,1.00001210658254,NA,NA,3726.67876235415,3713.35333173788,8.38999999999987,"mvnd",0
"36","stan.nuts",8,5,0.8,0.92,2.385,20660.5772118932,39404.1270410301,50000,20378.8611972223,0.999980676399371,1.00000112958844,0.999985588902981,"diag_e",0.708989713836499,8662.71581211453,6251.30929255466,3.305,"mvnd",0
"37","jags",9,5,0.5,0.0199999999999818,8.31999999999994,31401.316924162,31757.5708515716,50000,31715.0745415253,0.999980490174505,0.999987005623928,0.999985293682044,NA,NA,3774.19674569257,3765.14591416814,8.33999999999992,"mvnd",0
"38","stan.nuts",9,5,0.8,0.915,2.287,19849.8102900175,39865.6809535682,50000,20848.0882789718,0.999981393303724,1.00016232986511,0.999983418288265,"diag_e",0.735903434478028,8679.4098338511,6199.19122111726,3.202,"mvnd",0
"39","jags",10,5,0.5,0.0199999999999818,8.56999999999994,28623.2493654569,32036.3157465485,50000,31609.3695259429,0.999980003291565,1.00010898211383,0.999988952659868,NA,NA,3339.93574859476,3332.15941390654,8.58999999999992,"mvnd",0
"40","stan.nuts",10,5,0.8,0.918,2.357,20188.1698371354,38868.6333011939,50000,20282.856329017,0.999980414052778,1.0000002955663,0.99998860415965,"diag_e",0.714822780369905,8565.19721558566,6164.3266678276,3.275,"mvnd",0
"41","jags",1,25,0.5,0.0800000000001546,145.48,30681.8731794354,32360.406531734,50000,31732.4891707062,0.99998000174619,1.00019736486796,0.999995191230863,NA,NA,210.900970438791,210.785058940886,145.56,"mvnd",0
"42","stan.nuts",1,25,0.8,4.199,9.97,15719.3861355677,50000,50000,15522.1278588732,0.999979999859755,1.00001484756636,0.999985841421856,"diag_e",0.624478860299926,1576.66861941501,1109.42099905199,14.169,"mvnd",0
