"X","platform","seed","Npar","delta.target","time","minESS","medianESS","Nsims","minESS.coda","Rhat.min","Rhat.max","Rhat.median","metric","eps.final","samples.per.time","time.total","model","cor","mean.efficiency","sd.efficiency","median.efficiency","lwr.efficiency","upr.efficiency"
124,"stan.nuts",33032,2,0.8,0.620000000000005,7644.18945844635,8393.17340287361,20000,7953.73354355184,0.99995005306666,0.999976898292465,0.99995030627891,"diag_e",0.797206960083177,12329.3378362037,0.620000000000005,"mvnc",0.75,10265.3279244531,1362.07899134015,10067.7049753363,6798.04885875383,12329.3378362037
126,"stan.nuts",19139,2,0.8,0.639999999999986,6354.1361508014,6445.80295090759,20000,6151.40600128986,0.999987374860882,1.00022215301494,1.00001741060202,"diag_e",0.669338475548615,9928.33773562739,0.639999999999986,"mvnc",0.75,10265.3279244531,1362.07899134015,10067.7049753363,6798.04885875383,12329.3378362037
128,"stan.nuts",78362,2,0.8,0.639999999999986,7849.9143010011,8046.86161990479,20000,7972.60859060985,0.999954478048486,0.999965621591406,0.999956160149343,"diag_e",0.756797907243649,12265.4910953145,0.639999999999986,"mvnc",0.75,10265.3279244531,1362.07899134015,10067.7049753363,6798.04885875383,12329.3378362037
130,"stan.nuts",61413,2,0.8,0.639999999999986,7036.88180238636,7214.62349742202,20000,7038.87272972221,1.00002070320055,1.00020638552271,1.00019289520367,"diag_e",0.710807385270206,10995.1278162289,0.639999999999986,"mvnc",0.75,10265.3279244531,1362.07899134015,10067.7049753363,6798.04885875383,12329.3378362037
132,"stan.nuts",72018,2,0.8,0.67999999999995,6388.35224187772,6446.47176197167,20000,6420.51222404197,0.999997401313315,1.00029240556716,1.00009608534153,"diag_e",0.695711223017426,9394.63564982087,0.67999999999995,"mvnc",0.75,10265.3279244531,1362.07899134015,10067.7049753363,6798.04885875383,12329.3378362037
134,"stan.nuts",66788,2,0.8,0.700000000000045,7022.33064630283,7042.84191688309,20000,7218.49962102938,0.999950369522823,1.0008704589042,1.00069050421899,"diag_e",0.704824452254694,10031.9009232891,0.700000000000045,"mvnc",0.75,10265.3279244531,1362.07899134015,10067.7049753363,6798.04885875383,12329.3378362037
136,"stan.nuts",19639,2,0.8,0.650000000000091,6567.28086780022,7730.73842779625,20000,7006.98237761644,0.999993986243161,1.0012331739965,1.00069983715233,"diag_e",0.728137057488561,10103.5090273835,0.650000000000091,"mvnc",0.75,10265.3279244531,1362.07899134015,10067.7049753363,6798.04885875383,12329.3378362037
138,"stan.nuts",68716,2,0.8,0.639999999999986,6349.00375062036,6410.45642702253,20000,6692.88163025924,0.999961354944246,1.00013486098273,0.999983886558853,"diag_e",0.701072011532025,9920.31836034452,0.639999999999986,"mvnc",0.75,10265.3279244531,1362.07899134015,10067.7049753363,6798.04885875383,12329.3378362037
140,"stan.nuts",34163,2,0.8,0.659999999999968,5916.62021652607,6147.69317785077,20000,5848.51319632316,0.999953352998345,0.999982635812951,0.999965204785654,"diag_e",0.674637632484033,8964.57608564599,0.659999999999968,"mvnc",0.75,10265.3279244531,1362.07899134015,10067.7049753363,6798.04885875383,12329.3378362037
142,"stan.nuts",52953,2,0.8,0.660000000000082,5584.07677335814,5657.87177943445,20000,5643.74818908852,0.999981716286731,1.00000654512185,1.00000387370707,"diag_e",0.627988849061062,8460.72238387492,0.660000000000082,"mvnc",0.75,10265.3279244531,1362.07899134015,10067.7049753363,6798.04885875383,12329.3378362037
144,"stan.nuts",75834,2,0.8,0.639999999999986,7582.69534642282,8025.78374067433,20000,7820.19017520081,1.00003434604056,1.00029132805747,1.00007115775152,"diag_e",0.786672633708928,11847.9614787859,0.639999999999986,"mvnc",0.75,10265.3279244531,1362.07899134015,10067.7049753363,6798.04885875383,12329.3378362037
146,"stan.nuts",23712,2,0.8,0.659999999999968,6535.92700687969,6570.9209908122,20000,6727.12526672572,0.999952378875265,0.999973302537076,0.999957433763367,"diag_e",0.696863116295457,9902.91970739394,0.659999999999968,"mvnc",0.75,10265.3279244531,1362.07899134015,10067.7049753363,6798.04885875383,12329.3378362037
148,"stan.nuts",80542,2,0.8,0.6400000000001,7714.32842593796,7995.81745412773,20000,7776.23229547712,0.999953118094406,1.00016413950189,1.0000136762662,"diag_e",0.734688381710481,12053.6381655262,0.6400000000001,"mvnc",0.75,10265.3279244531,1362.07899134015,10067.7049753363,6798.04885875383,12329.3378362037
150,"stan.nuts",38632,2,0.8,0.650000000000091,6114.70426611126,6375.57162096071,20000,6156.32681893468,0.999956903954648,0.999985934001814,0.999959616037527,"diag_e",0.662349834229172,9407.23733247755,0.650000000000091,"mvnc",0.75,10265.3279244531,1362.07899134015,10067.7049753363,6798.04885875383,12329.3378362037
152,"stan.nuts",47339,2,0.8,0.720000000000027,7913.97235692375,8177.76728557681,20000,7999.61221413877,1.00007857406355,1.00048349424833,1.00034992474321,"diag_e",0.768048221578152,10991.6282735048,0.720000000000027,"mvnc",0.75,10265.3279244531,1362.07899134015,10067.7049753363,6798.04885875383,12329.3378362037
154,"stan.nuts",54263,2,0.8,0.620000000000005,6569.0498898591,7150.1905241216,20000,7095.56229640615,0.999950018631335,1.00012362929432,0.999984078102679,"diag_e",0.737258009320217,10595.2417578372,0.620000000000005,"mvnc",0.75,10265.3279244531,1362.07899134015,10067.7049753363,6798.04885875383,12329.3378362037
156,"stan.nuts",15202,2,0.8,0.620000000000005,6356.62878349318,7146.26042685422,20000,7121.50568277792,0.999957695264587,1.00018663050129,0.999970416801277,"diag_e",0.721692072630249,10252.6270701502,0.620000000000005,"mvnc",0.75,10265.3279244531,1362.07899134015,10067.7049753363,6798.04885875383,12329.3378362037
158,"stan.nuts",26482,2,0.8,0.629999999999995,7094.83076637816,7130.76244527973,20000,7077.25901038303,0.999956995696625,0.999961153973933,0.999960957261002,"diag_e",0.720476179977483,11261.6361371083,0.629999999999995,"mvnc",0.75,10265.3279244531,1362.07899134015,10067.7049753363,6798.04885875383,12329.3378362037
160,"stan.nuts",32386,2,0.8,0.830000000000041,5642.38055276596,5683.14571948718,20000,5886.89721205234,0.999950230648593,0.999955053180998,0.99995024210386,"diag_e",0.65178668721504,6798.04885875383,0.830000000000041,"mvnc",0.75,10265.3279244531,1362.07899134015,10067.7049753363,6798.04885875383,12329.3378362037
162,"stan.nuts",59189,2,0.8,0.740000000000009,5456.32321746096,5476.42392119074,20000,5526.43660883445,0.999951713387589,1.00033278913846,0.999954916006524,"diag_e",0.533048895276003,7373.40975332553,0.740000000000009,"mvnc",0.85,7679.02038737372,540.614372840476,7677.56297175371,6591.41069068086,8693.29855610164
164,"stan.nuts",33032,2,0.8,0.819999999999936,5984.1135410501,6028.23537053053,20000,5805.19061984683,1.00012038465889,1.0002621458546,1.00019475606221,"diag_e",0.507983135585657,7297.69944030556,0.819999999999936,"mvnc",0.85,7679.02038737372,540.614372840476,7677.56297175371,6591.41069068086,8693.29855610164
166,"stan.nuts",19139,2,0.8,0.779999999999973,6041.69624913758,6110.97956375387,20000,6043.89113835341,1.00020386615491,1.00126307225431,1.00104605704571,"diag_e",0.496650298205085,7745.76442197153,0.779999999999973,"mvnc",0.85,7679.02038737372,540.614372840476,7677.56297175371,6591.41069068086,8693.29855610164
168,"stan.nuts",78362,2,0.8,0.700000000000045,5430.52364603936,5588.53119800425,20000,5549.92724307864,1.00010225844363,1.00025581951963,1.00018854204932,"diag_e",0.562338872589522,7757.89092291286,0.700000000000045,"mvnc",0.85,7679.02038737372,540.614372840476,7677.56297175371,6591.41069068086,8693.29855610164
170,"stan.nuts",61413,2,0.8,0.75,6410.65811495767,6513.91250770427,20000,6545.01488361662,0.999984191079478,1.00010795124055,1.00008050656457,"diag_e",0.447639255836867,8547.54415327689,0.75,"mvnc",0.85,7679.02038737372,540.614372840476,7677.56297175371,6591.41069068086,8693.29855610164
172,"stan.nuts",72018,2,0.8,0.720000000000027,5511.52370608852,5550.50147115138,20000,5583.66527855641,0.999951476181916,1.00024875534297,1.00005533317376,"diag_e",0.534224708127219,7654.89403623376,0.720000000000027,"mvnc",0.85,7679.02038737372,540.614372840476,7677.56297175371,6591.41069068086,8693.29855610164
174,"stan.nuts",66788,2,0.8,0.790000000000077,5207.21444563839,5268.88004490511,20000,5137.54833544286,0.999989623250047,1.00038623002755,1.00004998849379,"diag_e",0.58461380081095,6591.41069068086,0.790000000000077,"mvnc",0.85,7679.02038737372,540.614372840476,7677.56297175371,6591.41069068086,8693.29855610164
176,"stan.nuts",19639,2,0.8,0.720000000000027,5823.32951037866,5950.62189048716,20000,6111.67832934732,0.999969375391579,1.00045507540901,1.00029502722593,"diag_e",0.50898966076706,8087.95765330339,0.720000000000027,"mvnc",0.85,7679.02038737372,540.614372840476,7677.56297175371,6591.41069068086,8693.29855610164
178,"stan.nuts",68716,2,0.8,0.730000000000018,6086.17900037561,6126.88131607182,20000,5792.66138840317,0.999979316575872,1.00114430537238,1.00086852814968,"diag_e",0.549545766308149,8337.23150736364,0.730000000000018,"mvnc",0.85,7679.02038737372,540.614372840476,7677.56297175371,6591.41069068086,8693.29855610164
180,"stan.nuts",34163,2,0.8,0.720000000000027,5229.46778894805,5543.05014007843,20000,5589.47879654546,0.99996539457197,1.00028396230232,0.999991380552584,"diag_e",0.473187205368039,7263.14970687202,0.720000000000027,"mvnc",0.85,7679.02038737372,540.614372840476,7677.56297175371,6591.41069068086,8693.29855610164
182,"stan.nuts",52953,2,0.8,0.730000000000018,5508.36314786951,5623.37883740789,20000,5515.86508260084,0.999951848252027,1.0004078885557,1.00017578210839,"diag_e",0.541212862136156,7545.70294228681,0.730000000000018,"mvnc",0.85,7679.02038737372,540.614372840476,7677.56297175371,6591.41069068086,8693.29855610164
184,"stan.nuts",75834,2,0.8,0.839999999999918,6012.39491447126,6155.71485154731,20000,5839.6179240776,0.999953488663083,0.999968694458318,0.999956338540917,"diag_e",0.507242111412336,7157.61299341887,0.839999999999918,"mvnc",0.85,7679.02038737372,540.614372840476,7677.56297175371,6591.41069068086,8693.29855610164
186,"stan.nuts",23712,2,0.8,0.67999999999995,5911.44301814868,5914.18597177373,20000,5678.54265147759,0.999964788779953,1.00129099000891,1.00118994869613,"diag_e",0.557156032093398,8693.29855610164,0.67999999999995,"mvnc",0.85,7679.02038737372,540.614372840476,7677.56297175371,6591.41069068086,8693.29855610164
