"","platform","seed","Npar","Nsims","delta.mean","delta.target","eps.final","nsteps.mean","nsteps.median","nsteps.sd","metric","lambda","L","model"
"53","NUTS",3,5,200,0.927804936699158,0.8,0.165772330587283,35.62,31,20.7879044085009,"diag_e",NA,NA,"mvn"
"54","NUTS",3,5,200,0.927804936699158,0.8,0.165772330587283,35.62,31,20.7879044085009,"dense_e",NA,NA,"mvn"
"55","NUTS",3,5,200,0.970888234692016,0.95,0.124617667532545,50.4,63,27.7091677933131,"diag_e",NA,NA,"mvn"
"56","NUTS",3,5,200,0.970888234692016,0.95,0.124617667532545,50.4,63,27.7091677933131,"dense_e",NA,NA,"mvn"
"57","HMC0.1",3,5,200,0.057848444311274,0.3,0.639866310288015,0.0639866310288015,NA,NA,"diag_e",0.1,0.0639866310288015,"mvn"
"58","HMC0.1",3,5,200,0.057848444311274,0.3,0.639866310288015,0.0639866310288015,NA,NA,"dense_e",0.1,0.0639866310288015,"mvn"
"59","HMC0.1",3,5,200,0.468668507241692,0.5,0.286169433700765,0.0286169433700765,NA,NA,"diag_e",0.1,0.0286169433700765,"mvn"
"60","HMC0.1",3,5,200,0.468668507241692,0.5,0.286169433700765,0.0286169433700765,NA,NA,"dense_e",0.1,0.0286169433700765,"mvn"
"61","HMC0.1",3,5,200,0.932582970336021,0.8,0.1546301867699,0.01546301867699,NA,NA,"diag_e",0.1,0.01546301867699,"mvn"
"62","HMC0.1",3,5,200,0.932582970336021,0.8,0.1546301867699,0.01546301867699,NA,NA,"dense_e",0.1,0.01546301867699,"mvn"
"63","HMC0.1",3,5,200,0.968293305830827,0.95,0.111345235632952,0.0111345235632952,NA,NA,"diag_e",0.1,0.0111345235632952,"mvn"
"64","HMC0.1",3,5,200,0.968293305830827,0.95,0.111345235632952,0.0111345235632952,NA,NA,"dense_e",0.1,0.0111345235632952,"mvn"
"65","HMC1",3,5,200,0.10676370111517,0.3,0.481226116559062,0.481226116559062,NA,NA,"diag_e",1,0.481226116559062,"mvn"
"66","HMC1",3,5,200,0.10676370111517,0.3,0.481226116559062,0.481226116559062,NA,NA,"dense_e",1,0.481226116559062,"mvn"
"67","HMC1",3,5,200,0.815553776125831,0.5,0.249484038164643,0.249484038164643,NA,NA,"diag_e",1,0.249484038164643,"mvn"
"68","HMC1",3,5,200,0.815553776125831,0.5,0.249484038164643,0.249484038164643,NA,NA,"dense_e",1,0.249484038164643,"mvn"
"69","HMC1",3,5,200,0.997014259623088,0.8,0.167901440041796,0.167901440041796,NA,NA,"diag_e",1,0.167901440041796,"mvn"
"70","HMC1",3,5,200,0.997014259623088,0.8,0.167901440041796,0.167901440041796,NA,NA,"dense_e",1,0.167901440041796,"mvn"
"71","HMC1",3,5,200,0.986856304425645,0.95,0.139103384016108,0.139103384016108,NA,NA,"diag_e",1,0.139103384016108,"mvn"
"72","HMC1",3,5,200,0.986856304425645,0.95,0.139103384016108,0.139103384016108,NA,NA,"dense_e",1,0.139103384016108,"mvn"
