"","platform","seed","Npar","Nsims","delta.mean","delta.target","eps.final","nsteps.mean","nsteps.median","nsteps.sd","metric","model","cor"
"64","NUTS",4,20,20000,0.888013221960909,0.8,0.579390487408301,6.712,7,1.03400334442962,"diag_e","mvnc",0
"65","NUTS",5,20,20000,0.873983413358035,0.8,0.615267555832328,6.4808,7,1.34440027566574,"diag_e","mvnc",0
"66","NUTS",6,20,20000,0.908295317053151,0.8,0.525693411457836,6.9176,7,0.568192330335799,"diag_e","mvnc",0
"67","NUTS",1,20,20000,0.905346646017854,0.8,0.477365774952052,6.9296,7,0.818725149905088,"diag_e","mvnc",0.2475
"68","NUTS",2,20,20000,0.879460422790207,0.8,0.535222179111323,6.6448,7,1.24402078711406,"diag_e","mvnc",0.2475
"69","NUTS",3,20,20000,0.849346016894883,0.8,0.579498450937966,6.0348,7,1.75496351805243,"diag_e","mvnc",0.2475
"70","NUTS",4,20,20000,0.864722168289707,0.8,0.550431870867472,6.4296,7,1.44818975460971,"diag_e","mvnc",0.2475
"71","NUTS",5,20,20000,0.903482644149334,0.8,0.489011344085899,6.9136,7,0.779099313036507,"diag_e","mvnc",0.2475
"72","NUTS",6,20,20000,0.888022363280323,0.8,0.514457177209696,6.72,7,1.0844895627719,"diag_e","mvnc",0.2475
"73","NUTS",1,20,20000,0.901969442954836,0.8,0.405646008634116,6.9448,7,1.18671554695257,"diag_e","mvnc",0.495
"74","NUTS",2,20,20000,0.908627674225643,0.8,0.379492596294501,7.0256,7,1.11259535629207,"diag_e","mvnc",0.495
"75","NUTS",3,20,20000,0.836482192729456,0.8,0.499998569821494,5.8484,7,2.18958828771232,"diag_e","mvnc",0.495
"76","NUTS",4,20,20000,0.888182547821759,0.8,0.421494812385496,6.8072,7,1.25275101217674,"diag_e","mvnc",0.495
"77","NUTS",5,20,20000,0.91138529796615,0.8,0.382439327736426,6.992,7,0.987944129675528,"diag_e","mvnc",0.495
"78","NUTS",6,20,20000,0.868405555988986,0.8,0.45493297091554,6.5068,7,1.6410432847144,"diag_e","mvnc",0.495
"79","NUTS",1,20,20000,0.872688341754691,0.8,0.322779255432123,6.6312,7,1.89450401808691,"diag_e","mvnc",0.7425
"80","NUTS",2,20,20000,0.893600624053873,0.8,0.303551052750828,6.9324,7,1.60115165073795,"diag_e","mvnc",0.7425
"81","NUTS",3,20,20000,0.898446336330579,0.8,0.288140896142269,6.984,7,1.5625582097368,"diag_e","mvnc",0.7425
"82","NUTS",4,20,20000,0.877828972167876,0.8,0.302625213561795,6.7064,7,1.81651562418309,"diag_e","mvnc",0.7425
"83","NUTS",5,20,20000,0.860344133216146,0.8,0.352159929235291,6.4168,7,2.13380717809912,"diag_e","mvnc",0.7425
"84","NUTS",6,20,20000,0.862282369986047,0.8,0.334240110777603,6.5328,7,2.07917206013489,"diag_e","mvnc",0.7425
"85","NUTS",1,20,20000,0.883751443003576,0.8,0.0543888052798463,7.1956,7,5.94202586725611,"diag_e","mvnc",0.99
"86","NUTS",2,20,20000,0.886941850590899,0.8,0.0585973920296666,7.3952,7,6.62083080134586,"diag_e","mvnc",0.99
"87","NUTS",3,20,20000,0.878410971733151,0.8,0.0598984952733323,7.21,7,6.48716489160196,"diag_e","mvnc",0.99
"88","NUTS",4,20,20000,0.869726871378728,0.8,0.0723986524691031,7.078,7,6.14928429735827,"diag_e","mvnc",0.99
"89","NUTS",5,20,20000,0.875039088537078,0.8,0.0575537451169364,7.222,7,6.1826320037545,"diag_e","mvnc",0.99
"90","NUTS",6,20,20000,0.871899579182498,0.8,0.0701698349663035,7.1332,7,6.43993827924647,"diag_e","mvnc",0.99
